,BPHIGH
2001,31.0
1220,31.6
2593,33.2
3137,29.6
1693,31.1
941,30.6
3061,29.9
367,34.2
686,31.5
1845,31.6
260,26.6
2639,29.3
2551,31.6
803,35.2
2391,28.0
2566,30.3
2074,28.2
1555,33.2
1875,30.3
2871,38.7
2483,34.8
465,33.2
471,35.1
2382,28.3
2577,34.5
390,29.9
2869,32.4
1773,31.1
2647,33.8
1899,31.4
1463,47.7
3080,29.6
2343,43.2
2511,35.7
2226,30.4
2518,34.6
2445,37.5
1325,29.2
551,33.0
1336,28.6
1540,35.3
3046,40.7
1465,44.5
2578,33.0
790,35.3
1552,33.5
2731,34.6
3047,39.7
1288,26.9
1900,29.7
1744,29.1
1606,34.8
444,44.5
796,35.9
238,30.5
920,31.3
110,31.3
2114,35.3
164,42.7
2145,35.6
253,22.9
2026,31.2
2975,29.0
1368,33.2
694,32.4
757,35.0
702,33.4
2491,35.1
916,33.4
1186,40.6
1232,28.0
1302,32.6
2576,29.7
2558,32.8
470,35.4
1803,28.3
158,40.8
2514,39.8
985,32.5
1745,31.5
3090,30.3
239,30.5
856,28.2
1177,47.4
2027,31.3
101,29.2
324,30.0
2386,28.6
3026,44.6
1706,29.8
1597,33.5
262,23.2
2611,36.2
1712,29.5
2143,37.0
2941,35.5
1536,37.1
180,37.6
2475,37.0
349,39.0
1915,31.0
2727,36.1
1154,42.7
671,31.0
489,37.3
1139,42.0
1941,35.1
2592,35.0
2100,33.4
1213,31.0
1819,32.7
2572,31.5
1770,31.4
3152,28.4
1771,27.5
2398,30.0
736,29.6
2215,34.7
2606,36.8
248,26.6
770,34.3
2883,28.6
2174,37.3
2706,32.2
356,30.6
1535,34.2
2385,30.0
2438,39.0
664,31.7
1616,30.8
1960,31.3
2780,30.0
2744,30.8
938,29.8
2050,30.1
849,31.7
890,29.0
454,35.9
626,31.1
1893,27.9
1156,49.6
1421,40.2
2732,29.1
1634,31.8
2923,37.4
556,38.6
1835,28.3
819,32.8
264,23.7
3075,28.1
1874,29.6
362,38.4
209,29.0
1701,29.3
1467,41.5
1571,40.1
1219,37.3
3139,28.2
2598,32.8
57,37.2
3053,40.2
2351,42.0
570,28.2
2206,36.6
230,25.7
1786,28.1
1603,36.1
1459,42.1
1627,30.9
1158,43.4
2950,36.7
826,31.6
716,35.9
433,34.1
69,31.4
1737,32.7
1339,28.8
1752,30.3
1898,25.7
1514,32.8
2737,35.6
1152,39.5
1204,35.6
629,32.9
909,32.8
1278,35.5
1388,28.8
1609,28.9
2336,29.4
840,30.8
2571,34.0
2094,35.9
1469,39.2
280,24.3
3135,26.9
2108,32.0
1489,38.3
1794,25.6
1717,31.3
2164,35.8
1877,29.5
605,30.2
1885,29.8
2231,33.2
3138,29.1
2874,37.5
449,38.0
517,45.9
76,31.7
1959,38.8
658,31.5
531,42.8
1560,40.0
2536,37.9
2902,36.1
973,30.2
2070,33.9
3143,28.9
1275,33.4
1720,31.5
639,31.5
1335,29.7
1580,33.7
2051,31.4
491,39.4
2735,34.1
1197,32.7
2719,35.5
1402,29.4
447,33.7
1988,32.0
2812,27.9
2366,37.0
167,38.0
59,49.1
620,32.2
539,41.2
2988,30.5
49,44.7
1554,32.2
935,32.7
1246,30.3
48,39.6
728,36.7
1253,34.3
1358,28.3
2404,27.7
1242,32.1
641,31.8
1455,41.9
2222,29.8
1264,31.0
1366,28.3
25,38.2
2079,32.3
1363,27.9
277,27.2
2452,38.3
3056,38.7
2766,33.3
370,30.4
3054,38.0
1615,30.1
1738,32.6
2492,37.5
1190,27.8
1894,31.7
1905,33.5
1584,35.9
2785,32.5
298,26.9
1849,28.6
241,31.4
2870,42.2
591,29.1
1685,30.9
2972,28.7
2362,37.1
1739,29.1
359,35.8
2900,31.3
2552,35.5
358,32.7
1147,41.0
1321,32.7
2333,30.2
999,29.8
2696,33.4
666,32.8
2790,28.7
1695,32.3
1317,33.2
2680,36.2
656,34.8
2444,37.0
2187,40.5
2053,31.6
1424,45.8
547,42.8
2364,42.4
2034,30.3
2533,32.4
3007,37.0
1638,28.1
810,31.6
795,36.9
2849,37.7
2090,36.0
797,34.3
2149,39.9
1683,29.6
2063,33.6
723,33.5
812,30.8
1389,29.1
3094,29.4
124,35.5
1360,29.7
1881,30.3
1507,33.3
627,27.1
415,37.5
2782,31.2
2371,43.7
1217,35.2
2916,30.7
506,34.3
1146,40.9
334,34.6
351,37.5
2424,29.9
791,36.3
2525,35.6
300,23.9
1228,27.5
2989,29.3
1918,32.7
2758,35.1
673,32.0
1755,30.5
221,28.9
1696,29.6
3086,32.8
987,34.3
458,32.4
1502,34.7
1979,35.9
1891,31.0
84,35.0
1561,32.5
785,36.3
950,30.2
850,31.9
630,30.4
1337,28.1
267,27.7
2979,27.5
1719,29.8
291,30.2
1661,31.4
2997,30.8
2673,34.1
425,30.8
481,35.6
613,32.6
